key,en,es,zh
TOWERDEFENSE_PLANT_TORCHWOODZ_NAME,Zombie Torchwood,Zombie Torchwood,僵尸火炬树桩
DIALOG_PAUSE,PAUSE,PAUSE,游戏暂停
TOWERDEFENSE_TIPS_AFTERNOON,SUN IS GOING DOWN,SUN IS GOING DOWN,太阳开始下山了!
TOWERDEFENSE_PLANT_GRAVEBUSTERG_NAME,Golden Goddess Marigold,Golden Goddess Marigold,宝藏吞噬者
TOWERDEFENSE_PLANT_GRAVEMINE_NAME,GraveMine,GraveMine,墓碑埋雷者
TOWERDEFENSE_PLANT_CATGATLINGPEA_NAME,Cat StarGatlingPea,Cat StarGatlingPea,猫猫星机枪
MAP_FRONTLAWN_EMPTY,"Front Yard (Day,Empty)","Front Yard (Day,Empty)",前院(白天裸地)
TOWERDEFENSE_PLANT_SQUASH_NAME,Squash,Squash,窝瓜
MAP_FRONTLAWN_NIGHT,Front Yard (Night),Front Yard (Night),前院(夜晚)
TOWERDEFENSE_ZOMBIE_SWANRIDER_NAME,Zombie Swanrider,Zombie Swanrider,白天鹅僵尸
LOAD_TALK,Load talk,Load talk,加载对话
TOWERDEFENSE_PLANT_MONEYNUT_NAME,Money-Nut,Money-Nut,坚果存钱罐
TOWERDEFENSE_PLANT_STRESSSHROOM_NAME,Stress Fume-shroom,Stress Fume-shroom,增压大喷菇
TOWERDEFENSE_ZOMBIE_BALLOONBOMB_NAME,BalloonPult Zombie,BalloonPult Zombie,气球炸弹
TOWERDEFENSE_PLANT_SUNSHROOM_NAME,Sun shroom,Sun shroom,阳光菇
TOWERDEFENSE_ZOMBIE_DOLPHINRIDER_NAME,Snorkel Zombie,Snorkel Zombie,海豚骑士僵尸
TOWERDEFENSE_ZOMBIE_IMPSKELETON_NAME,Skeleton ImpZombie,Skeleton ImpZombie,骷髅小鬼僵尸
TOWERDEFENSE_PLANT_GATLINGPOT_NAME,Gatlingpot,Gatlingpot,机枪花盆
TOWERDEFENSE_PLANT_DOOMCOBCANNON_NAME,Cannon of Destruction,Cannon of Destruction,毁灭加农炮
TOWERDEFENSE_PLANT_LIGHTBEAN_NAME,Light Bean,Light Bean,荧光豆
TOWERDEFENSE_PLANT_ROBOT_NAME,Plant Robot,Plant Robot,植物组合机甲
PLAYERS_SURVIVAL_LEVEL_DESCRIBE,-%d rounds completed,-%d rounds completed,-%d轮完成
TOWERDEFENSE_PLANT_PEASHOOTER_NAME,Peashooter,Peashooter,双发射手
TOWERDEFENSE_PLANT_SUNFLOWERSHROOM_NAME,SunFlower-Shroom,SunFlower-Shroom,阳光向日葵
LOAD_BGM,Load BGM,Load BGM,加载音乐
AWARD_COLLECTABLE_SHOVEL,You got a new shovel,You got a new shovel,你获得了一把新铲子!
TOWERDEFENSE_ZOMBIE_IMPSNAIL_NAME,Snail Imp,Snail Imp,蜗牛小鬼僵尸
TOWERDEFENSE_PLANT_SPIKEWEED_NAME,Spikeweed,Spikeweed,地刺
TOWERDEFENSE_PLANT_FIREDOOMSHROOM_NAME,Doomshroom,Doomshroom,烈焰毁灭菇
TOWERDEFENSE_ZOMBIE_SQUASH_NAME,Squash Zombie,Squash Zombie,窝瓜僵尸
PLAYERS_TRIP_TO_MODERN,{UserName}'s House,{UserName}'s House,{UserName}的房子
TOWERDEFENSE_PLANT_GARLICJALAPENO_NAME,Garlic-Jalapeno,Garlic-Jalapeno,大蒜辣椒
TOWERDEFENSE_PLANT_CORNPULT_NAME,Corn pitcher,Corn pitcher,玉米投手
TOWERDEFENSE_PLANT_MEDICPOT_NAME,Medic Pot,Medic Pot,治愈花盆
TOWERDEFENSE_ZOMBIE_CHESS_NAME,Chess Zombie,Chess Zombie,跳棋僵尸
LOAD_TUTORIAL,Load tutorial,Load tutorial,加载教程
TOWERDEFENSE_PLANT_DISGUISERBLOVER_NAME,Disguiser Blover,Disguiser Blover,伪装的三叶草
TOWERDEFENSE_ZOMBIE_BUCKETHEAD_NAME,Bucket Head Zombie,Bucket Head Zombie,铁桶僵尸
TOWERDEFENSE_ZOMBIE_PAPERBALL_NAME,Paper Ball Zombie,Paper Ball Zombie,冲锋橄榄读报僵尸
TOWERDEFENSE_PLANT_CALTROPSNOW_NAME,Snow Caltrop,Snow Caltrop,寒冰地刺
MAP_UNDEADVILLAGE_HALFLAWN,"Undead Village (Night,HalfLawn)","Undead Village (Night,HalfLawn)",鬼灵村庄(半草坪)
TOWERDEFENSE_PLANT_WINTERMELONPULT_NAME,WinterMelon Pult,WinterMelon Pult,冰瓜投手
TOWERDEFENSE_PLANT_PEALILYPAD_NAME,Pea waterlily,Pea waterlily,豌豆睡莲
TOWERDEFENSE_PLANT_PLANTERNTANGLEKELP_NAME,Tangled kelp plant,Tangled kelp plant,缠绕灯草
MAP_FRONTLAWN_NIGHT_COLD_BIG,"Front Yard (Winter Night,Big Map)","Front Yard (Winter Night,Big Map)",前院(冬夜大地图)
TOWERDEFENSE_PLANT_MELONPULT_NAME,Watermelon-Pult,Watermelon-Pult,西瓜投手
TOWERDEFENSE_READYPLACEZOMBIES_ZOMBIES,ZOMBIE!,ZOMBIE!,僵尸!
LEVLE_EVENT_GRAVESTONE_SPAWN_ZOMBIE,GravestoneSpawnZombie,GravestoneSpawnZombie,墓碑产生僵尸
TOWERDEFENSE_PLANT_THREEHYBIRDPEATER_NAME,Hybird Three-Peater,Hybird Three-Peater,杂交三线射手
TOWERDEFENSE_ZOMBIE_WILDPEA_NAME,Wild Gun Zombie,Wild Gun Zombie,狂野机枪僵尸
TOWERDEFENSE_ZOMBIE_NECROMANCERB_NAME,NecromancerB Zombie,NecromancerB Zombie,巨化法师僵尸
<!MissingKey:51:Fire Buff>,Fire Buff,Fire Buff,“四倍的面包，四倍的快乐！”身为面房的金牌烘焙师，增压大喷菇的工作效率远远高于大喷菇。但事实并不是它的技术有多高超，只是它能生产四倍的酵母孢，使得自己有四倍的容错率罢了。
MAP_FRONTLAWN_THREEPART,Front Yard (Three Part),Front Yard (Three Part),前院(三分)
TOWERDEFENSE_SHOVEL_JALAPENO_NAME,Jalapeno shovel,Jalapeno shovel,辣椒铲
TOWERDEFENSE_PLANT_DISGUISERCHERRY_NAME,Disguiser CherryBomb,Disguiser CherryBomb,伪装的樱桃炸弹
TOWERDEFENSE_PLANT_TABOOBEAN_NAME,TABOOBEAN,TABOOBEAN,禁忌咖啡豆
TOWERDEFENSE_ZOMBIE_SLEEP_NAME,Sleep Zombie,Sleep Zombie,小摔哥僵尸
TOWERDEFENSE_ZOMBIE_SNORKLE_DOOMTANGLEKELP_NAME,Tangled Seaweed Zombie,Tangled Seaweed Zombie,毁灭海草潜水僵尸
MAP_BACKYARD_NIGHT,Back Yard (Night),Back Yard (Night),后院(夜晚)
TOWERDEFENSE_PLANT_UMBRELLATORCH_NAME,Torch Umbrella,Torch Umbrella,火炬保护伞
<!MissingKey:60:Slow down Buff>,Slow down Buff,Slow down Buff,这是镇上最大的露天泳池，而且跟咱们只有几条街的距离！
TOWERDEFENSE_PLANT_HYPNOPATCH_NAME,HypnoPatch Shroom,HypnoPatch Shroom,魅惑菇丛
PLAYERS_MORDEN_LEVEL_NAME,Front Yard 1 - {LevelNumber},Front Yard 1 - {LevelNumber},前院告急1 - {LevelNumber}
PLAYERS_MORDEN_NIGHT_LEVEL_NAME,Nightfall 2 - {LevelNumber},Nightfall 2 - {LevelNumber},夜幕降临2 - {LevelNumber}
TOWERDEFENSE_ZOMBIE_GARGANTUARZOMBONIREDEYES_NAME,Zomboni RedEyesGargantuar,Zomboni RedEyesGargantuar,雪橇车红眼巨人僵尸
TOWERDEFENSE_SHOVEL_DIAMOND_NAME,Diamond Shovel,Diamond Shovel,钻石铲
TOWERDEFENSE_ZOMBIE_SCREEN_DOOR_NAME,Screen Door Zombie,Screen Door Zombie,铁栅门僵尸
LEVLE_EVENT_CHAGE_PROTAL_POS,ChangeProtalPos,ChangeProtalPos,改变传送门位置
MAP_TREASUREISLAND_BACKYARD,Gold and Silver Island,Gold and Silver Island,金银港
MAP_BACKYARD_FULL,"Back Yard (Day,Full Pool)","Back Yard (Day,Full Pool)",后院(白天全泳池)
LOAD_MAP,Load map,Load map,加载地图
LEVLE_EVENT_MAP_CHANGE,MapChange,MapChange,切换地图
TOWERDEFENSE_PLANT_WALLNUTHOLE_NAME,Wallnut Hole,Wallnut Hole,坑洞坚果
TOWERDEFENSE_ZOMBIE_DOOMSHROOM_NAME,Hot Pepper Zombie,Hot Pepper Zombie,毁灭菇僵尸
TOWERDEFENSE_PLANT_SEANUT_NAME,Sea Nut,Sea Nut,海坚果
TOWERDEFENSE_PLANT_APPLEGREEN_NAME,Rewind Clock,Rewind Clock,逆时闹钟
